IRM_STATE_OFFICE,IRM_DEPOT_NAME,IRM_CONSUMER_NAME,IRM_ERP_CONSUMER_CODE,IRM_LATITUDE,IRM_LONGITUDE,IRM_ROUTE_STATUS,IRM_ROUTE_VERIFIED_BY,IRM_ROUTE_VERIFIED_AT,IRM_ROUTE_DISTANCE,IRM_ROUTE_ID,IRM_IS_NEW,IRM_CREATED_AT,IRM_CREATED_BY,IRM_UPDATED_AT,IRM_UPDATED_BY,IRM_ISACTIVE,IRM_CUSTOMER_ID,IRM_GROUP_NO,IRM_IS_REJECTED
Punjab (NR),SANGRUR TERMINAL,NASIB CHAND HARBANS LAL,111059,30.25054,75.663207,Accepted,Jogesh Duvedi,25-Feb-15,22,123283,1,10/15/2014 14:56,1,,,1,1,7772,N
Uttar Pradesh 2 (NR),Mathura Terminal,NATH BROS EXIM INTERNATIONAL,107374,27.797329,78.011337,Accepted,DEVI CHARAN JATAV,23-Jan-13,215,587334,1,1/8/2015 21:42,1,,,1,1,13922,N
Uttar Pradesh 2 (NR),Meerut Terminal,NATIONAL AUTOMOBILES,248444,28.617538,77.48687,Accepted,MKJ,12-Sep-11,50.5,13494,1,1/8/2015 21:42,1,,,1,1,14957,N
Uttar Pradesh 2 (NR),Meerut Terminal,NATIONAL FILLING CENTRE,155298,28.81949,77.558243,Accepted,Partapur,,21.2,104128,1,1/8/2015 21:42,1,,,1,1,14707,N
Uttar Pradesh 1 (NR),KANPUR TERMINAL,NATIONAL SERVICE STATION JAIS,154591,26.263906,81.531198,Accepted,VERMA,8-Sep-11,156,13358,1,7/25/2014 12:32,,,,1,1,1015,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,NATIONAL TRADING COMPANY,186337,27.168026,81.207628,Accepted,Amousi,30-Apr-11,70,8122,1,7/25/2014 12:34,,,,1,1,1348,N
Uttar Pradesh 1 (NR),MUGHALSARAI TERMINAL,NATRAJ SERVICE STATION,154098,25.77018,84.496401,Accepted,R R,8-Aug-11,183,14803,1,7/25/2014 12:37,,,,1,1,1774,N
Uttar Pradesh 2 (NR),Bareilly Depot,NATURA GREEN FOOD PROD (P)LTD.,238623,28.421949,78.809067,Accepted,AA,16-Mar-11,46,7207,1,1/8/2015 21:42,1,,,1,1,13386,N
Karnataka (SR),Navalur Depot,NAVADURGA KISAN SEVA KENDRA,210001,15.478403,75.13084,Accepted,VSREENATH,26-Dec-11,20.5,96050,1,2/5/2015 9:21,,,,1,1,18189,N
Punjab (NR),JALANDHAR TERMINAL,NAVAYUGA ENGINEERING CO. LTD,528389,33.567055,75.18763,Accepted,Ahmed Nisar,6-Mar-13,396.5,22893,1,10/15/2014 14:56,1,,,1,1,6569,N
Punjab (NR),JALANDHAR TERMINAL,NAVAYUGA ENGINEERING CO. LTD,241101,33.492882,75.170158,Accepted,Jalandhar,24-Apr-12,374.5,17318,1,10/15/2014 14:56,1,,,1,1,6600,N
Punjab (NR),Jalandhar Terminal,NAVAYUGA ENGINEERING CO. LTD,528389,33.567055,75.18763,Accepted,KM_MALIK,15-Jan-15,,594918,0,1/15/2015 16:26,6,1/15/2015 16:26,6290,1,1,6569,N
Punjab (NR),Jalandhar Terminal,NAVAYUGA ENGINEERING CO. LTD,528389,33.567055,75.18763,Accepted,KM_MALIK,16-Jan-15,,599033,0,1/16/2015 10:35,6290,1/16/2015 10:35,6290,1,1,6569,N
Punjab (NR),Jalandhar Terminal,NAVAYUGA ENGINEERING CO. LTD,241101,33.492882,75.170158,Accepted,KM_MALIK,16-Jan-15,,599034,0,1/16/2015 10:35,6290,1/16/2015 10:35,6290,1,1,6600,N
Punjab (NR),BATHINDA TERMINAL,NAVJOT MOTORS,251061,29.911171,75.156303,Accepted,Ajith Singh,21-Jan-15,35,15195,1,10/15/2014 14:56,1,,,1,1,5874,N
Uttar Pradesh 2 (NR),Agra Top,NAVNEET KISSAN SEWA KENDRA,243581,27.176279,78.815536,Accepted,Agra Top,13-Jul-11,72,7372,1,1/8/2015 21:42,1,,,1,1,13448,N
Uttar Pradesh 2 (NR),Najibabad Depot,NAVNEET TRADERS,155995,30.166109,77.613487,Accepted,RAJENDRA BAITHA,18-Feb-13,182,5581,1,1/8/2015 21:42,1,,,1,1,14490,N
Punjab (NR),JALANDHAR TERMINAL,ND FILLING STATION- 524,213478,31.56776,74.888657,Accepted,DSJAUHARI,15-Sep-11,87,4215,1,10/15/2014 14:56,1,,,1,1,6599,N
Punjab (NR),Jalandhar Terminal,ND FILLING STATION- 524,213478,31.56776,74.888657,Accepted,S_KUMAR,2-Feb-15,,598601,0,2/2/2015 10:15,1,2/2/2015 10:15,52,1,1,6599,N
Delhi (NR),Bijwasan Terminal,Neelam Filling Station,254694,28.7291,77.0017,Accepted,Bijwasan,17-May-12,38,18531,1,7/25/2014 12:50,,,,1,1,2723,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,NEELGAON KISAN SEWA KENDRA,247243,27.228,80.9352,Accepted,UPSO1 Ops,19-Jul-11,70,11801,1,7/25/2014 12:34,,,,1,1,1349,N
Uttar Pradesh 1 (NR),GONDA DEPOT,NEELKANTH PETROLEUM,244662,27.533693,81.447685,Accepted,GUPTA,31-May-11,82,587513,1,7/25/2014 12:28,,,,1,1,552,N
Uttar Pradesh 2 (NR),Roorkee Top,NEELKANTH URJA CENTER,192671,29.283832,78.763283,Accepted,PANKAJ KUMAR,22-Jan-13,174,11263,1,1/8/2015 21:42,1,,,1,1,15342,N
Uttar Pradesh 2 (NR),Roorkee Top,NEERAJ FILLING STATION,186537,29.199253,78.977,Accepted,PANKAJ KUMAR,22-Jan-13,193,1988,1,1/8/2015 21:42,1,,,1,1,15263,N
Uttar Pradesh 1 (NR),GONDA DEPOT,NEGI FILLING STATION,156376,28.009009,81.271389,Accepted,Gonda,,135,46070,1,7/25/2014 12:28,,,,1,1,553,N
Uttar Pradesh 1 (NR),BAITALPUR DEPOT,NEHA FILLING STATION,153960,26.856457,83.590813,Accepted,VERMA,28-Dec-10,56,5681,1,7/25/2014 12:27,,,,1,1,338,N
Uttar Pradesh 2 (NR),Shahjahanpur Depot,NEHA FILLING STATION,232736,27.93763,79.795311,Accepted,Banthra,30-Nov-10,4.5,406,1,1/8/2015 21:42,1,,,1,1,15246,N
Karnataka (SR),Mysore Depot,NEHA KISAN SEVAN KENDRA,224174,12.475526,76.867027,Accepted,shilpi,11-May-15,46,2833,1,2/5/2015 9:21,,,,1,1,17830,N
Uttar Pradesh 1 (NR),KANPUR TERMINAL,NEHA KISSAN SEVA KENDRA,228010,26.885828,79.433365,Accepted,Kanpur,15-Nov-11,117.5,4166,1,7/25/2014 12:32,,,,1,1,1020,N
Karnataka (SR),Gulbarga Terminal,NEKRTC-DEPOT MANAGER-HUMNABAD,504051,17.776454,77.118814,Accepted,DASGUPTA,1-Mar-11,70,56060,1,2/5/2015 9:21,,,,1,1,17661,N
Uttar Pradesh 2 (NR),Najibabad Depot,NEM CHAND KARNWAL,187526,29.568812,77.764676,Accepted,VG,6-Sep-11,98.5,92134,1,1/8/2015 21:42,1,,,1,1,14489,N
Uttar Pradesh 1 (NR),Kanpur Terminal,NEMISHARANYA KISAN SEWA KENDRA,276563,,,Accepted,SUNIL_KUMAR,11-Sep-15,143.484569,591363,1,10/4/2014 14:40,6,,,1,1,4901,N
Uttar Pradesh 1 (NR),Lucknow Terminal,NEMISHARANYA KISAN SEWA KENDRA,276563,,,Accepted,SUNIL_KUMAR,9-Sep-15,111.6888626,592820,1,10/8/2014 10:00,6,,,1,1,5225,N
Delhi (NR),Bijwasan Terminal,Neraj Industries Pvt. Ltd.,108681,28.327492,77.305443,Accepted,V,5-Sep-11,50,13174,1,7/25/2014 12:50,,,,1,1,2724,N
Delhi (NR),REWARI TERMINAL,Neraj Industries Pvt. Ltd.,108681,28.327492,77.305443,Accepted,DSO,12-Dec-11,99.5,115142,1,7/25/2014 13:00,,,,1,1,4287,N
Uttar Pradesh 2 (NR),Bareilly Depot,NESTLE INDIA LIMITED US NAGAR,200370,29.007341,79.403827,Accepted,AA,22-Sep-11,128,9097,1,1/8/2015 21:42,1,,,1,1,13260,N
Punjab (NR),JALANDHAR TERMINAL,NESTLE INDIA LTD TAHLIWAL,255944,31.236477,76.192482,Accepted,Sandeep Nagpal,13-Dec-12,87,589139,1,10/15/2014 14:56,1,,,1,1,6512,N
Delhi (NR),PANIPAT TOP,NESTLE INDIA LTD-SAMALKHA,101317,29.221125,77.005684,Accepted,Panipat,1-Jun-11,38.5,102431,1,7/25/2014 12:56,,,,1,1,3555,N
Uttar Pradesh 2 (NR),Mathura Terminal,NEW AGRA SERVICE STATION,153696,27.211231,78.00306,Accepted,Mathura,8-Jan-11,45,85154,1,1/8/2015 21:42,1,,,1,1,13919,N
Delhi (NR),Bijwasan Terminal,New Amrit Filling Station,106308,28.688028,76.960978,Accepted,Bijwasan,28-Feb-11,37,23037,1,7/25/2014 12:50,,,,1,1,2725,N
Punjab (NR),JALANDHAR TERMINAL,NEW HERO AUTO RIM DIVISION,514799,30.878775,75.949539,Accepted,PURUSHOTTAM RAJAN,14-Sep-11,70,15109,1,10/15/2014 14:56,1,,,1,1,6598,N
Uttar Pradesh 2 (NR),Haldwani Depot,NEW JANTA  FILLING STATION,156559,29.06611,79.516436,Accepted,Kathgodam,,4,73039,1,1/8/2015 21:42,1,,,1,1,13890,N
Punjab (NR),SANGRUR TERMINAL,NEW SERVICE STATION,111117,30.631727,76.3908,Accepted,Amarendra Kumar,8-Mar-15,95,123290,1,10/15/2014 14:56,1,,,1,1,7734,N
Delhi (NR),REWARI TERMINAL,NHK SPRING INDIA LIMITED,101867,28.361429,76.919279,Accepted,V,26-Nov-10,50,115144,1,7/25/2014 13:00,,,,1,1,4272,N
Punjab (NR),KULLU DEPOT,NHPC CHAMERA PROJ  STG I-912,108960,32.60355,75.921776,Accepted,Bhukesh Baboo,3-Jan-13,318,22356,1,10/15/2014 14:56,1,,,1,1,7379,N
Punjab (NR),KULLU DEPOT,NHPC CHAMERA PROJ STG II-877,108959,32.52637,76.146188,Accepted,Suresh Pal,21-Dec-12,343,22355,1,10/15/2014 14:56,1,,,1,1,7310,N
Punjab (NR),KULLU DEPOT,"NHPC, TISSA",502505,32.7822,76.1556,Accepted,Bhukesh Baboo,3-Jan-13,,22354,1,10/15/2014 14:56,1,,,1,1,7272,N
Karnataka (SR),Bijapur Depot,NIDAGUNDI OIL AGENCY,253461,16.153742,75.762468,Accepted,P Valsakumaran,8-Nov-12,96,17698,1,2/5/2015 9:21,,,,1,1,16660,N
Uttar Pradesh 2 (NR),Agra Top,NIDHAULI KALAN FUEL CENTRE,177647,27.581749,78.499159,Accepted,UPSO2 Ops,14-Jul-11,58,1099,1,1/8/2015 21:42,1,,,1,1,13446,N
Karnataka (SR),Belgaum Depot,NIDHI PETROLEUMS,265040,16.22315,74.794982,Accepted,Sanjeev Rayudu k m,22-Jan-13,87,21961,1,2/5/2015 9:21,,,,1,1,16504,N
Uttar Pradesh 2 (NR),Najibabad Depot,NIM FILLING STATION,156072,30.045967,77.491875,Accepted,R_B,22-Jun-12,132.5,853,1,1/8/2015 21:42,1,,,1,1,14364,N
Karnataka (SR),Navalur Depot,NINGARADDI BROTHERS,246555,15.76168,75.315672,Accepted,Shreenath V,20-Dec-12,72,13876,1,2/5/2015 9:21,,,,1,1,18192,N
Uttar Pradesh 2 (NR),Roorkee Top,NIPMAN FASTENER INDUSTRIES LTD,261554,29.947363,78.061501,Accepted,HIMANSHU SHARMA,3-Aug-12,,20600,1,1/8/2015 21:42,1,,,1,1,15184,N
Delhi (NR),PANIPAT TOP,NIRBHAY FILLING STATION,165927,28.664723,76.687664,Accepted,DHAWAN,9-Feb-11,120,102439,1,7/25/2014 12:56,,,,1,1,3565,N
Uttar Pradesh 1 (NR),Allahabad Terminal,NIRC FUEL CENTER,183190,24.895727,82.17955,Accepted,Manmohan Khera,25-Aug-15,90,89235,0,11/28/2014 16:17,,11/28/2014 16:17,16,1,1,62,N
Uttar Pradesh 1 (NR),MUGHALSARAI TERMINAL,NIRC FUEL CENTER,183190,24.895727,82.17955,Accepted,Sandeep Kumar Vishwakarma,14-Sep-12,123,8428,1,7/25/2014 12:37,,,,1,1,1783,N
Delhi (NR),PANIPAT TOP,NIRMAL FILLING STATION,210657,27.810083,76.180573,Accepted,BIPINKUMAR,8-Feb-11,241,2854,1,7/25/2014 12:56,,,,1,1,3566,N
Delhi (NR),PANIPAT TOP,NIRMAL OIL CENTER,212969,28.567133,76.830421,Accepted,BIPINKUMAR,21-Jun-11,133,3938,1,7/25/2014 12:56,,,,1,1,3568,N
Delhi (NR),AMBALA TERMINAL,NIRMAL SAIN ENTERPRISES,111353,30.682186,76.847969,Accepted,SUMIT KHURANA,21-Apr-15,46.5,879,1,7/25/2014 12:46,,,,1,1,2251,N
Karnataka (SR),Navalur Depot,NIRMALESHWAR PETROLEUM,213059,15.127195,75.476677,Accepted,T JAYAKUMAR,21-Jan-12,61.24,4197,1,2/5/2015 9:21,,,,1,1,18026,N
Uttar Pradesh 2 (NR),Najibabad Depot,NIRWAL SERVICE STATION,186618,29.459235,77.314513,Accepted,VG,8-Jul-11,131.5,92135,1,1/8/2015 21:42,1,,,1,1,14239,N
Karnataka (SR),Bijapur Depot,NISARGA KISAN SEVA KENDRA,253026,16.282754,75.396232,Accepted,P VANSAKUMARAN,2-Nov-11,104,17426,1,2/5/2015 9:21,,,,1,1,16783,N
Karnataka (SR),Bangalore Terminal,NISHANI SERVICE STATION,118056,13.465746,76.602854,Accepted,A Srikanth,6-Feb-13,,20759,1,2/5/2015 9:21,,,,1,1,17001,N
Delhi (NR),AMBALA TERMINAL,NITIN FILLING STATION,231815,31.43062,76.220566,Accepted,Narinder Mohan Sharma,19-Jun-11,177,588629,1,7/25/2014 12:46,,,,1,1,2253,N
Punjab (NR),Jalandhar Terminal,NITIN FILLING STATION,231815,31.43062,76.220566,Accepted,AUTO-LOADED-FROM-INVOICE-DATA,26-Dec-14,,598059,1,12/26/2014 14:00,6,,,1,1,12827,N
Punjab (NR),Jalandhar Terminal,NITIN FILLING STATION-438,201322,31.55509,75.899715,Accepted,A_BHANDARI,24-Dec-14,,592143,0,12/24/2014 18:41,6,12/24/2014 18:41,6285,1,1,5043,N
Punjab (NR),JALANDHAR TERMINAL,NITIN FILLING STATION-438,201322,31.55509,75.899715,Accepted,SUNIL KUMAR MONGIA,21-Dec-11,41,61349,1,10/15/2014 14:56,1,,,1,1,6511,N
Karnataka (SR),Gulbarga Terminal,NITISH PETROLEUM,265592,16.475082,76.558418,Accepted,Mohmad Khaleel,29-Dec-12,,22224,1,2/5/2015 9:21,,,,1,1,17781,N
Uttar Pradesh 2 (NR),Meerut Terminal,NOIDA AUTOMOBILES,155452,28.585752,77.309298,Accepted,MKJ,12-Sep-11,70,104134,1,1/8/2015 21:42,1,,,1,1,14698,N
Uttar Pradesh 2 (NR),Bareilly Depot,NOOR KISAN SEWA KENDRA (KSK),214440,28.98184,79.122192,Accepted,SD,15-Feb-11,107,4751,1,1/8/2015 21:42,1,,,1,1,13633,N
Uttar Pradesh 1 (NR),Jhansi Depot,NORTH CENTRAL RAILWAY,507771,,,Accepted,Ashutosh Singh,19-Aug-15,16.01180475,592852,1,10/8/2014 11:10,6,,,1,1,5238,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,NORTHERN RAILWAY HQ - RATE CONTRACT,533870,26.840651,80.870071,Accepted,Amousi,16-May-12,17,20333,1,7/25/2014 12:34,,,,1,1,1351,N
Delhi (NR),PANIPAT TOP,NORTHERN RAILWAY HQ - RATE CONTRACT,530420,28.642242,77.307907,Accepted,DSO,14-Dec-11,119,17452,1,7/25/2014 12:56,,,,1,1,3570,N
Karnataka (SR),Gulbarga Terminal,NSSK LIMITED,189809,18.011853,77.480581,Accepted,DASGUPTA,21-Mar-11,135.5,56065,1,2/5/2015 9:21,,,,1,1,17530,N
Uttar Pradesh 1 (NR),Gonda Depot,NTPC - TANDA,155842,26.586621,82.596497,Accepted,UTTKARSH,29-Aug-15,,590511,1,9/4/2014 9:50,6,,,1,1,4546,N
Uttar Pradesh 1 (NR),MUGHALSARAI TERMINAL,NTPC - TANDA,155842,26.586621,82.596497,Accepted,Mughalsarai,,207.5,89361,1,7/25/2014 12:37,,,,1,1,1784,N
Uttar Pradesh 1 (NR),MUGHALSARAI TERMINAL,NTPC LTD RIHAND STPP,155646,24.023945,82.800285,Accepted,Mughalsarai,,212,89222,1,7/25/2014 12:37,,,,1,1,1785,N
Delhi (NR),Bijwasan Terminal,"NTPC,  Dadri",501160,28.552912,77.554436,Accepted,Bijwasan,20-Jul-11,78,7420,1,7/25/2014 12:50,,,,1,1,2717,N
Uttar Pradesh 1 (NR),Kanpur Terminal,NTPC. UNCHAHAR,155873,25.917321,81.323189,Accepted,Pooja Dwivedi,9-Sep-15,,597051,1,11/25/2014 10:00,6,,,1,1,11824,N
Punjab (NR),BATHINDA TERMINAL,NUR FILLING STATION,187240,30.885777,74.648488,Accepted,Vipin Goyal,27-Apr-15,91.5,16306,1,10/15/2014 14:56,1,,,1,1,5802,N
Karnataka (SR),Belgaum Depot,NWKRTC-DEPOT MANAGERBELGAUM-A-DEP,504096,15.863233,74.521676,Accepted,AHMED,17-Feb-11,17,153016,1,2/5/2015 9:21,,,,1,1,16752,N
Karnataka (SR),Belgaum Depot,NWKRTC-DEPOT MANAGERCHIKODI,504098,16.426531,74.578146,Accepted,AHMED,17-Feb-11,87,153018,1,2/5/2015 9:21,,,,1,1,16626,N
Karnataka (SR),Belgaum Depot,NWKRTC-DEPOT MANAGERGOKAK DEPOT,504093,16.167321,74.819542,Accepted,KASO CMC,18-Feb-11,84,153019,1,2/5/2015 9:21,,,,1,1,16501,N
Karnataka (SR),Belgaum Depot,NWKRTC-DEPOT MANAGERKHANAPUR,504094,15.643543,74.505151,Accepted,DALVI,16-Nov-11,13,153020,1,2/5/2015 9:21,,,,1,1,16874,N
Karnataka (SR),Belgaum Depot,NWKRTC-DEPOT MANAGERNIPPANI DEPOT,504100,16.405093,74.379424,Accepted,KASO CMC,18-Feb-11,86,153021,1,2/5/2015 9:21,,,,1,1,16749,N
Karnataka (SR),Belgaum Depot,NWKRTC-DEPOT MANAGERRAIBAG DEPOT,504101,16.492528,74.778582,Accepted,AHMED,17-Feb-11,112.52,153022,1,2/5/2015 9:21,,,,1,1,16748,N
Karnataka (SR),Belgaum Depot,NWKRTC-DEPOT MANAGERSANKESHWAR,504102,16.258799,74.485451,Accepted,KASO CMC,18-Feb-11,65,153023,1,2/5/2015 9:21,,,,1,1,16623,N
Karnataka (SR),Belgaum Depot,NWKRTC-DEPOT MGR BELGAUM CITY DEP,504095,15.865551,74.519989,Accepted,AHMED,17-Feb-11,17,153017,1,2/5/2015 9:21,,,,1,1,16996,N
Karnataka (SR),Belgaum Depot,"NWKRTC-DEPOT MGR,BELGAUM MINI-DEP",504097,15.865493,74.519928,Accepted,DALVI,20-Jul-11,16.018,5870,1,2/5/2015 9:21,,,,1,1,16871,N
Uttar Pradesh 2 (NR),Roorkee Top,O.N.G.C.   KDMIPE,176409,30.342931,78.016212,Accepted,HS,3-Dec-11,101.5,116074,1,1/8/2015 21:42,1,,,1,1,15419,N
Uttar Pradesh 2 (NR),Bareilly Depot,OBEETEE TEXTILE PVT LTD US NGR,196036,28.359364,79.400955,Accepted,AA,22-Sep-11,125,11893,1,1/8/2015 21:42,1,,,1,1,13384,N
Uttar Pradesh 2 (NR),Roorkee Top,OC 531 SS AND TC SORAITHOTA (GREF),503730,30.260624,78.931824,Accepted,HIMANSHU SHARMA,23-Jul-12,344,5897,1,1/8/2015 21:42,1,,,1,1,15483,N
Uttar Pradesh 2 (NR),Roorkee Top,"OC ARMY,SD- JOSHIMATH C/P",513596,30.561855,79.551839,Accepted,HIMANSHU SHARMA,18-Dec-12,311.5,21424,1,1/8/2015 21:42,1,,,1,1,15406,N
Punjab (NR),BATHINDA TERMINAL,OC ASC BHATINDA(22038-59-36-,500763,30.204477,74.973648,Accepted,Sandeep Nagpal,6-Feb-15,9.6107171,16071,1,10/15/2014 14:56,1,,,1,1,5837,N
Delhi (NR),AMBALA TERMINAL,OC ASC SUP DEP PATIALA-783,502628,30.325712,76.378616,Accepted,ARORA DEEPIKA,2-Mar-11,62.5,7986,1,7/25/2014 12:46,,,,1,1,2265,N
Uttar Pradesh 2 (NR),Bareilly Depot,OC ASC SUPPLY DEPOT BAREILLY C/P,508270,28.339819,79.423572,Accepted,SWARAJ MISRA,22-Jan-13,40,12777,1,1/8/2015 21:42,1,,,1,1,13258,N
Delhi (NR),AMBALA TERMINAL,"OC SUPLLY DEPOT,MATHURA",503731,27.4921,77.687752,Accepted,Sanjay Kumar,18-Nov-11,348,13305,1,7/25/2014 12:46,,,,1,1,2268,N
Uttar Pradesh 2 (NR),Mathura Terminal,"OC SUPLLY DEPOT,MATHURA",503731,27.4921,77.687752,Accepted,AT,8-Jul-11,20,587979,1,1/8/2015 21:42,1,,,1,1,13790,N
Delhi (NR),AMBALA TERMINAL,OC SUPPLY DEPOT ASC -ALLA,502606,25.444038,81.803159,Accepted,Sanjay Kumar,5-Sep-12,828,13421,1,7/25/2014 12:46,,,,1,1,2269,N
Delhi (NR),AMBALA TERMINAL,OC SUPPLY DEPOT ASC KARCHAM,501314,31.516048,78.152458,Accepted,Pooja,12-Oct-11,357.5,100,1,7/25/2014 12:46,,,,1,1,2270,N
Delhi (NR),Bijwasan Terminal,"OC, ASC, FOL Depot, Delhi Cantt",502039,28.604671,77.114005,Accepted,Bijwasan,,30,23171,1,7/25/2014 12:50,,,,1,1,2727,N
Uttar Pradesh 2 (NR),Haldwani Depot,"OC,1020 IESPL PITHORAGARH C/P",522193,29.588675,80.21951,Accepted,NK,5-Dec-11,225,11659,1,1/8/2015 21:42,1,,,1,1,14010,N
Uttar Pradesh 1 (NR),JHANSI DEPOT,OC- SD- ASC BABINA,502013,25.237553,78.462637,Accepted,Ambabai,,41,6067,1,7/25/2014 12:29,,,,1,1,697,N
Uttar Pradesh 2 (NR),Roorkee Top,OC-531 SS  AND  TC (GREF)  MARWARI C/P,513599,30.25773,78.933739,Accepted,HIMANSHU SHARMA,23-Jul-12,317,10897,1,1/8/2015 21:42,1,,,1,1,15485,N
Uttar Pradesh 2 (NR),Roorkee Top,OC-531 SS AND TC (GREF)  BHAIRONGH  C/P,513604,30.916241,78.680504,Accepted,SHIVESH AGGARWAL,5-Jul-12,318.5,12535,1,1/8/2015 21:42,1,,,1,1,15408,N
Uttar Pradesh 1 (NR),JHANSI DEPOT,OC-FOL DEPOT-JHANSI,501315,25.436795,78.581866,Accepted,Ambabai,,20,6069,1,7/25/2014 12:30,,,,1,1,699,N
Uttar Pradesh 1 (NR),MUGHALSARAI TERMINAL,OCEAN FILLING STATION,155233,25.968366,83.608005,Accepted,R R,8-Aug-11,131.5,14808,1,7/25/2014 12:37,,,,1,1,1788,N
Delhi (NR),AMBALA TERMINAL,OCFOL DEPOTJHANSI,501315,25.429399,78.580574,Accepted,Sanjay Kumar,19-Nov-11,622,7058,1,7/25/2014 12:47,,,,1,1,2278,N
Uttar Pradesh 1 (NR),JHANSI DEPOT,OCFOL DEPOTJHANSI,501315,25.429399,78.580574,Accepted,VERMA,8-Aug-11,20,587697,1,7/25/2014 12:30,,,,1,1,699,N
Uttar Pradesh 2 (NR),Haldwani Depot,OFFICER COMMANDING HALDWANI  C/P,508277,29.223436,79.53344,Accepted,Kathgodam,,16,73048,1,1/8/2015 21:42,1,,,1,1,14132,N
Uttar Pradesh 1 (NR),MUGHALSARAI TERMINAL,OLYMPIC FILLING STATION,155234,25.971269,83.572416,Accepted,R R,12-Jun-12,122.5,826,1,7/25/2014 12:37,,,,1,1,1790,N
Uttar Pradesh 1 (NR),BAITALPUR DEPOT,OM AUTOMOBILES,156065,26.754751,83.17222,Accepted,Baitalpur,,63,11157,1,7/25/2014 12:27,,,,1,1,341,N
Uttar Pradesh 1 (NR),Gonda Depot,OM AUTOMOBILES,156065,26.754751,83.17222,Accepted,Arvind Kumar,23-Aug-15,,602005,1,8/18/2015 17:40,6,,,1,1,20660,N
Uttar Pradesh 1 (NR),GONDA DEPOT,OM AUTOMOBILLES RAMUAPUR,171743,27.51835,82.398406,Accepted,GUPTA,7-Jul-11,68,46072,1,7/25/2014 12:28,,,,1,1,557,N
Uttar Pradesh 2 (NR),Shahjahanpur Depot,OM DHANDHAY FILLING STATION,155400,28.1007,79.864799,Accepted,NG,26-Feb-11,54,92,1,1/8/2015 21:42,1,,,1,1,15325,N
Uttar Pradesh 2 (NR),Agra Top,OM FILLING STATION,213443,27.797686,78.666161,Accepted,Agra Top,23-Mar-12,92.5,348,1,1/8/2015 21:42,1,,,1,1,13321,N
Uttar Pradesh 2 (NR),Bareilly Depot,OM FILLING STATION CHANDAUSI,180593,28.455555,78.784836,Accepted,SINGH,12-Sep-11,49,3217,1,1/8/2015 21:42,1,,,1,1,13631,N
Uttar Pradesh 1 (NR),Kanpur Terminal,"OM KISAN SEWA KENDRA,SAIDANPUR",249641,26.944242,81.38031,Accepted,ABHYUDAYA_KUMAR,24-Aug-15,,590659,1,10/1/2014 17:20,6,,,1,1,4691,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,"OM KISAN SEWA KENDRA,SAIDANPUR",249641,26.944242,81.38031,Accepted,RAJEEV,25-Jul-11,71,14595,1,7/25/2014 12:34,,,,1,1,1352,N
Karnataka (SR),Navalur Depot,OM NAMAHA SHIVAYA PETROLEUM,229249,15.539884,74.934761,Accepted,VSREENATH,26-Dec-11,22,4358,1,2/5/2015 9:21,,,,1,1,18031,N
Punjab (NR),BATHINDA TERMINAL,OM PRAKASH JINDAL & BROS(*),109670,29.69512,75.238782,Accepted,Pradeep Sharma,25-Jan-15,67.5,16308,1,10/15/2014 14:56,1,,,1,1,5836,N
Karnataka (SR),Bijapur Depot,OM SAI PETROLEUMS,263924,16.481447,76.293091,Accepted,Shreenath V,8-Dec-12,86,21618,1,2/5/2015 9:21,,,,1,1,16651,N
Uttar Pradesh 2 (NR),Bareilly Depot,OM SERVICE STATION,155736,28.566332,79.003105,Accepted,SD,26-May-11,40,9098,1,1/8/2015 21:42,1,,,1,1,13506,N
Uttar Pradesh 1 (NR),Gonda Depot,OM SERVICE STATION,156302,26.785112,81.679008,Accepted,Virendra Pratap singh,11-Sep-15,,590646,1,9/30/2014 17:00,6,,,1,1,4678,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,OM SERVICE STATION,156302,26.785112,81.679008,Accepted,RAJEEV,15-Oct-10,100,861,1,7/25/2014 12:34,,,,1,1,1353,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,OMAX AUTOS LIMITED,241155,26.917923,81.059792,Accepted,Amousi,19-Jan-12,30,18967,1,7/25/2014 12:34,,,,1,1,1354,N
Punjab (NR),SANGRUR TERMINAL,ONKAR FILLING STATION,175221,30.616249,76.238364,Accepted,N M Sharma,31-Mar-15,73,123295,1,10/15/2014 14:56,1,,,1,1,7702,N
Uttar Pradesh 1 (NR),GONDA DEPOT,ONKAR SERVICE STATION,154608,27.118568,81.530224,Accepted,Gonda,,47,46073,1,7/25/2014 12:28,,,,1,1,555,N
Delhi (NR),PANIPAT TOP,ORIENTAL CARBON & CHEM. LTD U-III,190228,28.217962,76.790787,Accepted,ANIL K,24-Mar-11,191,588358,1,7/25/2014 12:56,,,,1,1,3579,N
Delhi (NR),Bijwasan Terminal,Oswal Castings Pvt. Ltd. - Plant-2,199122,28.338037,77.307396,Accepted,V,5-Sep-11,47.5,13179,1,7/25/2014 12:51,,,,1,1,2737,N
